girl_id,name_official_eng,name_romanization_eng,name,image_name,age,authority,birthday_date,birthday,blood,bust,class_name,club,club_eng,cv,cv_eng,description,description_eng,favorite_food,favorite_food_eng,favorite_subject,favorite_subject_eng,girl_type,hated_food,hated_food_eng,height,hip,hobby,hobby_eng,horoscope,horoscope_eng,name_hiragana,nickname,nickname_eng,school,school_eng,tweet_name,waist,weight,year,created_at
80,Raimu Nejikawa,Raimu Nejikawa,螺子川来夢,a261b0e9fb0a8276f2a3f4f25d81e22f,17,Students,2015-06-10,1983-06-10,AB,78,2A,ロボット研究部,Robot Research Club,豊崎愛生,Aki Toyosaki,ロボット研究部の部長。<br>ロボットと人間の共存が夢。機械の修理を頼まれると快く引き受けるが、本来は協調性ゼロで自分の好きなことしかやらない。<br>人間との恋愛は苦手だが、ロボット相手にはよく恋に落ちている。,,紅しょうが,Pickled Ginger,技術,Technology,POP,ナス,Eggplant,155,81,自作ロボット ねじとパーツ収集,Collecting Screws and Parts and Creating Robots,ふたご座,Gemini,ねじかわ らいむ,螺子川,,聖櫻学園,Seiou Academy,robocon_spirit,60,48,2,2016-10-30 23:41:30
81,Nozomi Miyauchi,Nozomi Miyauchi,宮内希,f8fad10753a9ed7f06cbc036a7987a9f,15,Students,2015-01-01,1985-01-01,AB,77,1C,映画研究会,Movie Study Group,広橋涼,Ryo Hirohashi,気弱で泣き虫な1年生。<br>自分の性格への反動からか特撮のヒーローに強い憧れを持つ。<br>引っ込み事案だが、ヒーローへの愛を語り始めると饒舌になる。手先が器用で、フィギュアやグッズを自作している。,,焼き鳥,Yakitori,理科総合,Science,POP,イナゴの佃煮,Boiled Grasshoppers,153,79,特撮作品観賞・工作,Creating Special Effects,やぎ座,Capricorn,みやうち のぞみ,宮内,,聖櫻学園,Seiou Academy,hero_wish,58,45,1,2016-10-30 23:41:30
82,Yuki Kubota,Yuki Kubota,久保田友季,07d2f6f8e9c2e9ca91732102ddbd8fee,20,Teachers,2015-07-12,1980-07-12,O,79,Teacher,水泳部,Swimming Club,,,なし,None,シーフードドリア,Seafood Doria,なし,None,ALL,炭酸飲料,Carbonated Drinks,160,82,ダイビング,Diving,かに座,Cancer,くぼた ゆき,久保田さん,,聖櫻学園,Seiou Academy,yuuki100,61,48,-1,2016-10-30 23:41:30
83,Kaoru Arai,Kaoru Arai,荒井薫,389957a73ded8c89cec5fab19f878dbc,20,Teachers,2015-04-11,1980-04-11,B,81,Teacher,陸上部,Track Club,,,なし,None,酒全般,Alcoholic Drinks,なし,None,ALL,甘いもの,Anything Sweet,165,83,釣り,Fishing,おひつじ座,Aries,あらい かおる,荒井さん,,聖櫻学園,Seiou Academy,k_arai,60,51,-1,2016-10-30 23:41:30
84,Yuri Otowa,Yuri Otowa,音羽ユリ,bd2df0dc03325d050c9d93a203c62209,16,Students,2015-08-19,1984-08-19,B,73,1B,帰宅部,Going Home Club,西梛あやか,Ayaka Nishina,インディーズアーティストとフェスをこよなく愛するヘッドフォン女子。<br>普段から大音量で音楽を聴いており、<br>声をかけられても気付かないことがある。<br>野外フェスにはテントと寝袋を持参するほど、全力を注いでいる。,,屋台の焼きそば,Chow Mein Stall Food,現代文,Modern Literature,COOL,マヨネーズ,Mayonnaise,154,75,インディーズアーティスト発掘,Creating Art and Excavating Things,しし座,Leo,おとわ ゆり,音羽,,聖櫻学園,Seiou Academy,sound_lily,58,46,1,2016-10-30 23:41:30
85,Kei Asami,Kei Asami,浅見景,89531af52ea9c21dd22e3bdcfec581fd,18,Students,2015-04-12,1982-04-12,O,89,3B,バレー部,Volleyball Club,伊藤美来,Miku Itou,バレー部のエースで、全ガール中屈指の長身（とバストサイズ）を誇る。<br>クラスでは委員長も勤める優等生で、<br>周囲からの信望も厚い。<br>スポーツ万能のように見えて実は水泳が苦手。,,牛乳,Milk,英語,English,SWEET,コーラ,Coke,173,89,ハートウォーミング系映画鑑賞,Watching Heartwarming Movies,おひつじ座,Aries,あさみ けい,浅見先輩,,聖櫻学園,Seiou Academy,asamil,63,51,3,2016-10-30 23:41:30
86,Serina,Serina,芹那,60368f74c1822835c674c022dc524c94,16,Other,2015-05-19,1984-05-19,A,-1,Other,応援団チアガール部門,Cheerleading Club,芹那,Serina,なし,None,スープカレー,Curry Soup,,,SWEET,その他,Other,-1,-1,少女漫画を読むこと,Reading Comics,おうし座,Taurus,せりな,芹那,,その他,Other,,-1,-1,1,2016-10-30 23:41:30
87,Mayuko Yoshikawa,Mayuko Yoshikawa,吉川繭子,6d961e79120cbbbb04ee7e6b68f682fa,17,Students,2015-07-22,1983-07-22,O,85,2B,帰宅部,Going Home Club,大前愛華,Aika Oomae,男言葉で話すスポーツ万能の2年生。<br>外見に反してなかなか男前な性格で、<br>同性からラブレターをもらうほど女子からの人気が高い。<br>好きになった異性の前では少女らしさを見せることもある。,,豚まん,Pork Buns,体育,Physical Education,POP,オクラ,Okra,163,86,編み物,Knitting,かに座,Leo,よしかわ まゆこ,吉川,,聖櫻学園,Seiou Academy,mayu_kk,58,50,2,2016-10-30 23:41:30
88,Kaho Mishina,Kaho Mishina,三科果歩,f53230b3eb51d0151d66864f6632561a,16,Students,2015-12-01,1984-12-01,AB,74,1A,料理部,Cooking Club,松井恵理子,Eriko Matsui,おっとりしているが、成績優秀でスポーツもできる。ただし、どこか天然なところがあり、肝心なことを忘れていることも。<br>パンが大好きで、料理部でさまざまな種類のパンを焼く毎日。<br>パンの天敵であるカビが大嫌い。,,あげパン,Anpan,数学,Mathematics,SWEET,なし,None,155,80,パンづくり,Baking Bread,いて座,Sagittarius,みしな かほ,果歩,,聖櫻学園,Seiou Academy,kaho_bread,58,45,1,2016-10-30 23:41:30
89,Yoshinoya Sensei,Yoshinoya Sensei,吉野屋先生,35a8cd721d9c0f62ee5ece6b8af3e526,-1,Hidamari,NULL,NULL,O,-1,Hidamari,ひだまり,Hidamari,松来未祐,Miyu Matsuki,なし,None,なし,None,,,SWEET,その他,Other,-1,-1,その他,Other,みずがめ座,Aquarius,よしのやせんせい,吉野屋先生,,山吹高校,Yamabuki High School,,-1,-1,-1,2016-10-30 23:41:30
92,Kyoko Tachibana,Kyoko Tachibana,橘響子,de1fa2cfb357bb7e74695f28a606ee61,-1,Teachers,NULL,NULL,O,83,Other,弓道部,Archery Club,新谷良子,Ryoko Shintani,聖櫻学園の国語教師で、<br>弓道部の顧問を務める。<br>明るくて少しおっちょこちょい。<br>元気いっぱいな天然系。<br>背が低いため、板書の際は背伸びをしている。養護教諭の神崎ミコトがちょっと苦手。,,スイートポテト,Sweet Potatoes,国語,Japanese,SWEET,インゲン,Green Beans,148,80,食べ歩き,Walking During Lunchtime,かに座,Cancer,たちばな きょうこ,橘先生,,聖櫻学園,Seiou Academy,ototachibana,60,45,-1,2016-10-30 23:41:30
93,Kaede Yuge,Kaede Yuge,弓削楓,ab4e6adc5ecee742a6ae30bf9d3ed884,17,Students,2015-02-14,1983-02-14,B,78,3B,帰宅部,Going Home Club,,,天真爛漫で誰に対しても気さくに接するため、男子にも女子にもモテモテの先輩。<br>運動神経が良く、負けず嫌い。<br>恋愛には一途でヤキモチ焼き。<br>少女らしい一面も見せる一方で、<br>予想もしないような大胆な行動に出る。,,クレープ,Sweet Bean Paste,なし,None,POP,豆乳,Soy Milk,164,80,読書,Reading,みずがめ座,Aquarius,ゆげ かえで,弓削先輩,,聖櫻学園,Seiou Academy,,53,43,3,2016-10-30 23:41:30
96,Miyako and Yuno,Miyako and Yuno,宮子＆ゆの,26657d5ff9020d2abefe558796b99584,-1,Hidamari,NULL,NULL,,-1,Hidamari,ひだまり,Hidamari,,,なし,None,なし,None,,,POP,その他,Other,-1,-1,その他,Other,,,みやこ＆ゆの,,,山吹高校,Yamabuki High School,,-1,-1,-1,2016-10-30 23:41:30
97,Mutsumi Shigino,Mutsumi Shigino,鴫野睦,b943d9fe2d236909fa3505a984b686b7,15,Students,2015-05-15,1985-05-15,A,71,1C,生徒会,Student Council,津田美波,Minami Tsuda,生徒会書記を務める1年生。<br>会長の天都かなたを筆頭にゆるい雰囲気になりがちな生徒会を締める役割で、きついことを言いながらも皆の仕事を手伝う苦労性。<br>しっかり者に見えて子供っぽい一面もある。,,ココア,Chocolate,古典,Classic Literature,COOL,コーヒー,Coffee,150,73,ゆるキャラ,Loose Characters,おうし座,Taurus,しぎの むつみ,鴫野,,聖櫻学園,Seiou Academy,harmo_snipe,53,43,1,2016-10-30 23:41:30
98,Mei Morizono,Mei Morizono,森園芽以,e00a813ae3fde899feea947bd7614b04,16,Students,2015-04-22,1984-04-22,O,78,1B,帰宅部,Going Home Club,三上枝織,Shiori Mikami,お掃除好きな1年生。おだやかでのんびりとした性格。<br>実家は学園の近くにある神社で、普段から巫女服に身を包んで境内を掃除している。<br>怖がりで、ホラー映画や怪談が苦手。<br>3年生の重藤秋穂は従姉妹。,,お汁粉,Red Bean Soup,日本史,Japanese History,SWEET,ふがし,Fugashi,157,78,掃除、小物集め,Cleaning and Collecting Accessories,おうし座,Taurus,もりぞの めい,森園,,聖櫻学園,Seiou Academy,meimei_forest,55,46,1,2016-10-30 23:41:30
99,Yuzuko Hazuki,Yuzuko Hazuki,葉月柚子,93f201a26b8f5068ea5fdd1ccebb9039,16,Students,2015-06-16,1984-06-16,O,79,1A,ラクロス部,Lacrosse Club,石原夏織,Kaori Ishihara,運動神経抜群のラクロス部の1年生。<br>一人でいるよりみんなでいるほうが好き。<br>率先して人をフォローするが、<br>時には愛のあるツッコミを入れる。<br>実家は蕎麦屋で、隣は朝比奈桃子の酒屋。,,焼き鳥,Yakitori,地理,Geography,POP,タマネギ,Onions,153,80,運動 シール集め,Exercising and Collecting Seals,ふたご座,Gemini,はづき ゆずこ,葉月,,聖櫻学園,Seiou Academy,may_citrus,56,44,1,2016-10-30 23:41:30
100,Shinobu Kokonoe,Shinobu Kokonoe,九重忍,a9df974f61219f427bd7bf066094cc74,18,Students,2015-09-15,1982-09-15,B,87,3C,ビリヤード同好会,Billiards Club,桑島法子,Houko Kuwashima,ビリヤード同好会の会長を務める3年生。<br>腕前はプロ級で、部への昇格を目指して奮闘している。<br>整った容姿からはクールな人物だと思われがちだが、実際には大雑把で気さくな性格。<br>純情で恋愛の話や下ネタは苦手。,,みたらし団子,Mitarashi Dango,数学,Mathematics,POP,生魚,Raw Fish,164,80,ビリヤード,Playing Billiards,おとめ座,Virgo,ここのえ しのぶ,九重先輩,,聖櫻学園,Seiou Academy,9_ball,58,48,3,2016-10-30 23:41:30
101,Momoko Asahina,Momoko Asahina,朝比奈桃子,97da29a8e5ec358cd2ec019928270e39,16,Students,2015-07-19,1984-07-19,O,75,1A,軽音部,Light Music Club,小倉唯,Yui Ogura,とても素直で人を疑うことがなく、騙されやすい性格。<br>軽音部のガールズバンド「にゅーろん★くりぃむそふと」ではキーボードを担当する。<br>実家は酒屋。葉月柚子とは家が隣同士で、幼稚園から一緒の幼馴染。,,笛ラムネ,Ramune,音楽,Music,SWEET,ゴーヤ,Bitter Gourds,145,78,シール集め　音楽,Collecting Seals and Playing Music,かに座,Cancer,あさひな ももこ,朝比奈,,聖櫻学園,Seiou Academy,mor_peach,58,44,1,2016-10-30 23:41:30
102,Masako Hatayama,Masako Hatayama,畑山政子,02cd4dc6a157aec0c0ff09cd168134dd,-1,Teachers,2015-11-06,1970-11-06,AB,86,Teacher,空手部,Karate Club,,,なし,None,唐揚げ,Fried Chicken,体育,Physical Education,ALL,山いも,Mountain Potatoes,163,85,イケメン探し,Admiring Cool Men,さそり座,Scorpio,はたやま まさこ,畑山先生,,聖櫻学園,Seiou Academy,hata_yama,55,49,-1,2016-10-30 23:41:30
103,Matsuri Kagami,Matsuri Kagami,加賀美茉莉,d6edf486b280099786d1fe26ea95913c,17,Students,2015-07-01,1983-07-01,AB,73,2C,テニス部,Tennis Club,釘宮理恵,Rie Kugimiya,厳格な家庭で育ち、普段はもったいぶった言い回しで他人行儀に振舞う。<br>根は甘えん坊で、心を許した相手には素の自分を見せてワガママを言うことも。<br>テニスの腕前は後輩の小倉愛いわく「すごい」とのこと。,,プリン,Pudding,英語,English,SWEET,ネギ,Green Onions,153,78,テニス（表向き）　童話・絵本の収集、描くこと,"Playing Tennis, Drawing, and Collecting Fairy Tale Books",かに座,Cancer,かがみ まつり,加賀美,,聖櫻学園,Seiou Academy,mikagami,53,44,2,2016-10-30 23:41:30
104,Akari Amari,Akari Amari,甘利燈,b72290fc6c99e62ebf75025cb828c7df,16,Students,2015-04-13,1984-04-13,B,72,1C,オカルト研究会,Occult Research Club,赤崎千夏,Chinatsu Akasaki,オカルト研究会所属の1年生。<br>明るく活発で人懐っこい。<br>海外ホラー作品が大好きで、特に派手なゾンビものやスプラッタームービーが好み。<br>他人に薦める時はこと細かに描写を語り、引かれている。,,マグロの目玉　トマト,Tuna Eyeballs and Tomatoes,英語,English,POP,にんにく,Garlic,153,74,ホラー映画鑑賞　ドール作り,Watching Horror Movies and Making Dolls,おひつじ座,Aries,あまり あかり,甘利,,聖櫻学園,Seiou Academy,zombie_slayer,54,43,1,2016-10-30 23:41:30
108,Nori and Nazuna,Nori and Nazuna,乃莉＆なずな,a3c65c2974270fd093ee8a9bf8ae7d0b,-1,Hidamari,2000-01-01,1960-01-01,,-1,Hidamari,ひだまり,Hidamari,,,なし,None,なし,None,,,POP,その他,Other,-1,-1,その他,Other,,,のり＆なずな,,,山吹高校,Yamabuki High School,,-1,-1,-1,2016-10-30 23:41:30
109,Isuki Ishida,Isuki Ishida,石田いすき,b5fed1ce2af5c0c4dd15fe4a222cd2d2,17,Students,2015-05-10,1983-05-10,A,69,2B,地学部,Geology Club,小見川千明,Chiaki Omigawa,ひたすら化石と古代生物にこだわる地学部の2年生。<br>明るく元気で、いつも笑顔を絶やさない。化石を見ると更にテンションがアップする。<br>髪飾りのアンモナイトは、<br>仲が進展するにつれて進化していく。,,ぺろぺろキャンディー,Lollipops,地学,Geoscience,POP,すいとん,Water,146,74,化石掘り　型抜き,Digging Up Fossils and Die-Cutting,おうし座,Taurus,いしだ いすき,石田,,聖櫻学園,Seiou Academy,fossil_love,55,45,2,2016-10-30 23:41:30
110,Mahiro Natsume,Mahiro Natsume,夏目真尋,c4615fe3ebd1c87f577403727a0f7467,17,Students,2015-04-20,1983-04-20,AB,79,2A,文芸部,Literature Club,茅原実里,Minori Chihara,おとなしく物静かだが、<br>さらりと辛らつな言葉を口にする。<br>照れ隠しでそっけない態度やきつい言葉を返してしまい、あとで後悔することもしばしば。文芸部では文芸作品を発表する一方で、密かに恋愛小説を書いている。,,きなこもち,Kinako Mochi,現代文,Modern Literature,COOL,ゆでたまご,Boiled Eggs,153,77,恋愛小説（読む・書く)　クロスワードパズル,Writing and Reading Romance Novels and Doing Crossword Puzzles,おうし座,Taurus,なつめ まひろ,夏目,,聖櫻学園,Seiou Academy,imcat,57,44,2,2016-10-30 23:41:30
111,Kanata Amatsu,Kanata Amatsu,天都かなた,4dac0e3cf042d46c4763f01d11cffbb7,17,Students,2015-09-17,1983-09-17,O,85,3A,生徒会,Student Council,井上喜久子,Kikuko Inoue,抜群の人望を持ち、<br>生徒会の会長を務める3年生。<br>優しく穏やかな癒し系で、超がつく天然。<br>優柔不断で実務能力はないに等しいが、<br>彼女の頼みは誰も断らないため、<br>生徒会の切り札的な存在となっている。,,黒蜜きなこ餅,Black Honey Mochi,現代文,Modern Literature,SWEET,トムヤムクン,Tom Yum,162,80,通販カタログ鑑賞　お茶,Ordering From Mail Order Catalogs and Drinking Tea,おとめ座,Virgo,あまつ かなた,天都先輩,,聖櫻学園,Seiou Academy,kanata_A,54,49,3,2016-10-30 23:41:30
112,Saeko Arisugawa,Saeko Arisugawa,有栖川小枝子,a3884fc52d94e6924de0d63b6768bf4d,17,Students,2015-02-14,1983-02-14,B,80,3C,合唱部,Chorus,中原麻衣,Mai Nakahara,合唱部の部長。<br>おっとりしているが社交的で、<br>まとめ上手なリーダー気質の持ち主。<br>他人の恋愛話が大好物で、何かと首を突っ込みだがるありがた迷惑な人だが、<br>自分の恋愛には無頓着な面がある。,,チョココロネ,Chocolate Cornet,音楽,Music,SWEET,コーヒー,Coffee,157,78,音楽　恋愛事（他人の）,Listening to Music and Observing Others' Relationships,みずがめ座,Aquarius,ありすがわ さえこ,有栖川先輩,,聖櫻学園,Seiou Academy,S_alice,55,45,3,2016-10-30 23:41:30
113,Satoru Kimijima,Satoru Kimijima,君嶋里琉,b2a29e7556d9ae6e5ef8cc1934361474,16,Students,2015-05-18,1984-05-18,AB,68,1C,水泳部,Swimming Club,田村睦心,Mutsumi Tamura,中性的な雰囲気を漂わせる水泳部の1年生。<br>男兄弟に囲まれて育ったせいで、<br>口調や立ち居振る舞いも男性的になっている。<br>運動神経抜群でスポーツ万能だが、<br>個人競技がやりたくて水泳を選んだ。,,リンゴ,Apples,化学,Chemistry,COOL,焼きリンゴ,Baked Apples,160,67,パズル,Solving Puzzles,おうし座,Taurus,きみじま さとる,君嶋,,聖櫻学園,Seiou Academy,satoru,55,46,1,2016-10-30 23:41:30
115,Koruri Tokitani,Koruri Tokitani,時谷小瑠璃,5149d786aaf8aecc507e734c2813098a,17,Students,2015-11-29,1983-11-29,B,73,3C,手芸部,Handicrafts Club,田村ゆかり,Yukari Tamura,手芸部の部長。小柄で愛らしい外見に反し、大胆かつ強引な性格。<br>気に入られた相手はかなりの頻度で振り回される。趣味は服飾デザインと人間の着せ替えで、すでにプロのデザイナーとしても活躍している。,,マドレーヌ,Madeleine,家庭科,Home Economics,POP,酢豚のパイナップル　ピラフのレーズン,"Pineapple, Pilaf, Raisins, and Sweet and Sour Pork",148,78,服飾デザイン　着せ替え（人間の）,"Designing Fashion, Especially Dresses",いて座,Sagittarius,ときたに こるり,時谷先輩,,聖櫻学園,Seiou Academy,azure_time,57,43,3,2016-10-30 23:41:30
116,Yurara Mishima,Yurara Mishima,三嶋ゆらら,a537002abecda481803db23d6b0977b6,18,Students,2015-08-13,1982-08-13,B,77,3A,オカルト研究会,Occult Research Club,福原香織,Kaori Fukuhara,オカルト研究会に所属する。<br>通称「幽霊部長」。誰に対してもフレンドリーで、明るくあっけらかんとした性格。<br>霊感が強いという噂があるが本人は明言しておらず、真相は不明。<br>運が絡む勝負事に非常に強い。,,かつサンド,Katsusando,日本史,Japanese History,SWEET,パセリ,Parsley,154,78,お喋り　（運の要素の強い）パーティーゲーム,Chatting and Playing Party Games That Rely on Luck,しし座,Leo,みしま ゆらら,三嶋先輩,,聖櫻学園,Seiou Academy,yurararan,58,45,3,2016-10-30 23:41:30
117,Tomo Oshi,Tomo Oshi,押井知,be65460ec0b2d6d23676dc09165d34d9,17,Students,2015-04-09,1983-04-09,AB,75,2A,放送委員会,School Radio Broadcaster,藤田咲,Saki Fujita,素直だが好奇心が旺盛で、ストレートに行動しすぎて厄介ごとを招いてしまう。<br>特にボタンやスイッチを見ると押さずにはいられない。<br>放送委員会では同じ2年生の櫻井明音と組み、昼の放送で機器の操作を担当している。,,甘納豆,Amanatto,技術,Technology,POP,トマト,Tomatoes,153,79,ボタンを押す　工場見学,Pressing Buttons and Touring Factories,おひつじ座,Aries,おしい とも,押井,,聖櫻学園,Seiou Academy,switch_on,57,44,2,2016-10-30 23:41:30
119,Tsuzuri Shirase,Tsuzuri Shirase,白瀬つづり,2a936cd4463b3156ce5e08a6b7fd4a05,17,Students,2015-12-12,1983-12-12,B,72,2A,書道部,Calligraphy Club,村川梨衣,Rie Murakawa,書道部の2年生。<br>いつもにこやかで礼儀正しい。<br>書家としては天才型で求道の姿勢が強くいろいろなものを取り入れる柔軟さもある。<br>しかし、発表する作品がかなり前衛的なため、周囲から理解されていない。,,ウナギ,Eel,現代文・古典,Modern Literature and Classic Literature,SWEET,炭酸飲料,Carbonated Drinks,154,74,書道　芸術鑑賞,Practicing Calligraphy and Art Appreciation,いて座,Sagittarius,しらせ つづり,白瀬,,聖櫻学園,Seiou Academy,t_shirase,55,44,2,2016-10-30 23:41:30
120,Haruka Kazemachi,Haruka Kazemachi,風町陽歌,f7898cc345ae3dd13c224b6d0209627c,17,Students,2015-07-03,1983-07-03,O,80,2A,軽音部,Light Music Club,早見沙織,Saori Hayami,軽音部所属。ガールズバンド「にゅーろん★くりぃむそふと」の中心的存在で主にボーカルを担当。真面目な性格だが、集中しすぎて周りが見えなくなることも。<br>音楽一家に育ち、数多くの楽器を演奏するほか。作詞作曲もこなす。,,ソフトクリーム,Soft-Served Ice Cream,音楽,Music,SWEET,イカ,Squid,156,83,音楽鑑賞　作詞作曲　アップリケ,"Writing Songs, Appreciating Music, and Applying Appliques",かに座,Cancer,かぜまち はるか,風町,,聖櫻学園,Seiou Academy,sing_wind,56,46,2,2016-10-30 23:41:30
121,Emi Sagara,Emi Sagara,相楽エミ,298c11902a22c26d5514554036e44150,17,Students,2015-11-08,1983-11-08,A,89,2B,大道芸研究会,Street Performance Study,東山奈央,Nao Toyama,ジャグリングとバランス芸を得意とする。<br>大道芸研究会の会長。<br>やる気も元気も人一倍あるが、不器用でそそっかしい一面も持つ。<br>子供の頃に見た大道芸に感動し、聖櫻学園入学後に自ら研究会を設立した。,,ごま団子,Sesame Dumplings,英語,English,POP,とろろ,Grated Yam,152,84,大道芸各種　リスグッズ集め,Doing Street Performances and Collecting Risuguzzu,さそり座,Scorpio,さがら えみ,相楽,,聖櫻学園,Seiou Academy,smile_S,56,45,2,2016-10-30 23:41:30
122,Ayame Chiyoura,Ayame Chiyoura,千代浦あやめ,a90f95c32c4d408520211eabca2840af,18,Students,2015-11-11,1982-11-11,AB,71,3A,美術部,Art Club,小松未可子,Mikako Komatsu,美術部3年生。<br>気まぐれな芸術家肌で、テンションの高低で人格まで変わる。<br>特技は折り紙で手遊びから始まり徐々に高度なものが折れるようになった。現在では絵より高い評価を得ることもある。,,湯葉,Dried Bean Curds,美術,Art,COOL,ミートソース,Meat Sauce,161,68,美術　折り紙,Creating Art and Creating Origami,さそり座,Scorpio,ちようら あやめ,千代浦先輩,,聖櫻学園,Seiou Academy,ayame_colors,55,44,3,2016-10-30 23:41:30
123,Otome Kayashima,Otome Kayashima,栢嶋乙女,356f7ac192f11c9f5caaed708c259a74,18,Students,2015-07-20,1982-07-20,AB,68,3A,日本文化研究会,Japanese Culture Research Association,内山夕実,Yumi Uchiyama,美人だが面倒くさがりで、人当たりも愛想も悪く、いつもだるそうにしている。<br>一方でSNSでは活発に活動しており、友達も多い。<br>日々、自作のキャラ弁や、変な文字が書かれたTシャツを着た写真をアップしている。,,ウインナー,Hotdogs,現代文,Modern Literature,POP,おでん,Oden,166,71,変な文字Ｔ集め　キャラ弁,Making Cute Character Bento and Collecting Various Cute Character Things,かに座,Cancer,かやしま おとめ,栢嶋先輩,,聖櫻学園,Seiou Academy,T_maiden,54,44,3,2016-10-30 23:41:30
124,Kazumi Kawabuchi,Kazumi Kawabuchi,川淵一美,0516e4b5a4a55e483b3e59177b2e6c61,17,Students,2015-05-15,1983-05-15,B,73,2C,サッカー部,Soccer Club,井ノ上奈々,Inoue Nana,サッカー部のマネージャー。<br>海外サッカーの情報をくまなくチェックする熱心なサッカーファン。<br>サッカー全般の知識も豊富だが、運動神経が鈍かったためマネージャーとなった。<br>有望な生徒がいるとすぐにスカウトする。,,フライドポテト,French Fries,生物,Creature Studies,COOL,ハッカ飴,Peppermint Candy,158,74,サッカー観戦,Playing Soccer,おうし座,Taurus,かわぶち かずみ,川淵,,聖櫻学園,Seiou Academy,kazu_buchi,59,46,2,2016-10-30 23:41:30
125,Ibuki Fukita,Ibuki Fukita,芙来田伊吹,14ec3675af089b4370230f84f7d7a594,15,Students,2015-01-26,1985-01-26,B,77,1A,囲碁部,Go Club,真堂圭,Kei Shindou,明るく気配り上手な1年生。<br>学園の近所にある銭湯の娘。<br>老若男女問わず顔が広い。<br>銭湯の番台に座ることもあるが、待ち時間はほとんど番台で囲碁を打っている。<br>ただしその腕は祖父の相手ができる程度。,,フルーツ牛乳,Fruit Flavored Milk,地理,Geography,POP,パクチー,Fresh Coriander,154,75,温泉めぐり,Playing Go,みずがめ座,Aquarius,ふきた いぶき,芙来田,,聖櫻学園,Seiou Academy,spa_hukita,58,43,1,2016-10-30 23:41:30
137,Kanna Hashimoto,Kanna Hashimoto,橋本環奈,31492bcac9e93e162dd1ac5dd293268e,15,Other,2015-02-03,1985-02-03,,-1,Other,帰宅部,Going Home Club,橋本環奈,Kanna Hashimoto,なし,None,ぜんざい、干し梅,Red Bean Soup and Dried Plums,,,SWEET,嫌いな食べ物,Almond Jelly,-1,-1,とにかくしゃべること,Talking,みずがめ座,Aquarius,はしもとかんな,橋本,,その他,Other,,-1,-1,1,2016-10-30 23:41:30
138,Mimi Takeuchi,Mimi Takeuchi,武内未美,ed53dd7d503b5a7ab25e058dd64eb870,17,Students,2015-06-30,1983-06-30,B,82,2D,ヨガ同好会,Yoga Club,辻美優,Miyu Tsuji,明るく元気で、人との関わりに積極的。<br>少し強引なところもあるため、お節介ととられることも多い。<br>興味のないことには途端に面倒くさがる面も。体を動かすのは好きだが、<br>運動神経はあまり良くない。,,刺身,Sashimi,"???
",,POP,辛い物,Anything With A Very Strong Flavor,165,89,ヨガ　エクササイズ,"Yoga, Exercise",かに座,Cancer,たけうち みみ,武内,,聖櫻学園,Seiou Academy,mimi_asana,63,45,2,2016-10-30 23:41:30
148,Sumire Yomogida,Sumire Yomogida,蓬田菫,809f62ed0734eba9513ac3fe36d9d17e,16,Students,2015-01-08,1984-01-08,B,73,2A,軽音部,Light Music Club,五十嵐裕美,Hiromi Igarashi,軽音部のガールズバンド「にゅーろん★くりぃむそふと」でドラムを担当する2年生。<br>小柄だがパワフルなプレイを見せる。<br>名古屋弁混じりの、どことなくオヤジくさい言葉づかいで話す。,,肉,Meat,"???
",,POP,糸こんにゃく,Konjac,146,75,ジャズ鑑賞,Jazz Music,やぎ座,Capricorn,よもぎだ すみれ,蓬田,,聖櫻学園,Seiou Academy,violet_drum,55,44,2,2016-10-30 23:41:30
156,Risa Shinomiya,Risa Shinomiya,篠宮りさ,f5764ba4a2f68b57a9004f3dea193a06,17,Students,2015-04-08,1983-04-08,A,80,2B,生徒会,Student Council,日笠陽子,Yoko Hikasa,生徒会の副会長を務める２年生。<br>真面目なしっかり者で仕事を冷静にしっかりとこなすが、<br>会長である天都かなたの行動には振り回されることばかり。<br>生徒会の仕事外だと気さくで話しやすい。,,豚角煮,Boiled Pork,"???
",,POP,カレーうどん,Curry Udon,162,84,"インテリア,部屋の模様替え",Interior Design and Decorating,おひつじ座,Aries,しのみや りさ,篠宮,,聖櫻学園,Seiou Academy,risa_S,54,45,2,2016-10-30 23:41:30
164,Shiki Nanami,Shiki Nanami,七海四季,0a498f344b87afe76868524260e3e6cb,17,Students,2015-11-03,1983-11-03,O,76,2D,マンガ研究部,Manga Research Club,三澤紗千香,Sachika Misawa,基本的にネガティブ思考で人付き合いが苦手。部屋の隅や狭い所を好む。<br>漫画やゲームなどオタク趣味を持ち、特技はイラスト。元々漫研にも入るつもりはなかったが、うっかりイラストを描いているのがバレ断りきれずに引き込まれた。,,ペペロンチーノ,Peperoncino,美術,Art,COOL,酢の物,Anything With Vinegar,164,74,イラスト、漫画、アニメ鑑賞、すみっこ,"Illustration, Comics, Anime Appreciation and????",さそり座,Scorpio,ななみ しき,七海,,聖櫻学園,Seiou Academy,nana_shiki,62,45,2,2016-10-30 23:41:30
